"","lon","lat","location"
"300",-3.6940663,40.4581664,"CALLE DE ORENSE 52 "
"301",NA,NA,"CALLE DE CASAS DE MIRAVETE - CARRETERA DE VILLAVERDE A VALLECAS NA "
"302",-3.6970707,40.4162696,"PLAZA DE LAS CORTES 1 "
"303",NA,NA,"CALLE CHIQUITA - CALLE DEL DOCTOR MARTIN AREVALO NA "
"304",-3.6042857,40.4536892,"AVENIDA DE LOGROÑO 34 "
"305",-3.7162468,40.453668,"CALLE DEL ALMIRANTE FRANCISCO MORENO 5 "
"306",NA,NA,"CALLE DE LA PIROTECNIA - CALLE DE LOS SONDEOS NA "
"307",-3.6923128,40.4039451,"CALLE DE ANCORA - PASEO DE LAS DELICIAS NA "
"308",-3.656941,40.4317658,"CALLE DE ALCALA 238 "
"309",-3.7000769,40.4006053,"GLORIETA DE SANTA MARIA DE LA CABEZA - CALLE DE EMBAJADORES NA "
"310",-3.6844407,40.3688321,"CALLE DE EMBAJADORES - CAMINO DE PERALES NA "
"311",-3.7131411,40.4138002,"CALLE DE SEGOVIA 21 "
"312",-3.7013595,40.4201962,"CALLE GRAN VIA 26 "
"313",-3.7035285,40.4169473,"CALLE DE CARRETAS - PLAZA DE LA PUERTA DEL SOL NA "
"314",-3.6755048,40.3491396,"AVENIDA DE LOS ROSALES - CARRETERA DE VILLAVERDE A VALLECAS NA "
"315",NA,NA,"AVENIDA DE NUESTRA SEÑORA DE FATIMA - CALLE DEL PINGÜINO NA "
"316",-3.730197,40.4147392,"PASEO DE LA PUERTA DEL ANGEL 1 "
"317",NA,NA,"CALLE DE PEÑA GORBEA 13 "
"318",-3.6940039,40.3910228,"CALLE DE MANUEL ALEIXANDRE 6 "
"319",-3.7109346,40.3980331,"PARQUE DE MADRID RIO (RIBERA ESTE) KM. 4600 "
"320",-3.7024276,40.4172093,"PLAZA DE LA PUERTA DEL SOL 1 "
"321",-3.690482,40.461107,"PASEO DE LA CASTELLANA - CALLE DE GENOVA NA "
"322",NA,NA,"CALLE MAYOR - PLAZA DE SAN MIGUEL NA "
"323",-3.6742581,40.4322108,"CALLE DE JUAN BRAVO - CALLE DEL CONDE DE PEÑALVER NA "
"324",-3.6757924,40.4062048,"CALLE DE CAVANILLES 21 "
"325",-3.6403711,40.4750163,"CALLE DE GREGORIO SANCHEZ HERRAEZ 1 "
"326",NA,NA,"AVENIDA DEL MANZANARES 194 "
